,index,condo_price,maint_fee,avg_income_household_yr,avg_income_individual_yr,total_sqft,price_per_sqft,toronto_region,bedrooms,bath,parking,age_of_building,commute_transit,commute_car,near_by_schools,near_by_grocery_stores,near_by_bars&restaurants,speak_English,speak_Europe_language,speak_Asian_language,speak_Africa_language,speak_middleEast_language,edu_no_diploma,edu_high_school,edu_trade_cert,edu_coll_or_univ_cert,edu_ba_or_msc_cert,population_0_14_years,population_15_19_years,population_20_34_years,population_35_49_years,population_50_64_years,population_65_and_more,tenancy_property_type_owned,tenancy_property_type_rented,tenancy_property_type_detached,tenancy_property_type_semi_detached,tenancy_property_type_duplex,tenancy_property_type_low_rise,tenancy_property_type_high_rise,household_compo_singlefamily,household_compo_multifamily,household_compo_singleperson,household_compo_multiperson,latitude,longitude,bedrooms_plus_field,cluster_nbr,criminal_records
625,625,999000,770.81,167648,76246,998,1001,Midtown | Central,2,2,1,6.0,41,23,1,7,92,61,11,6,0,6,4,16,2,16,62,6,3,35,19,17,21,41,59,1,1,0,2,94,39,0,54,7,43.67297711,-79.38702571,1,6,30
626,626,699900,354.99,116368,63940,646,1083,West End,1,1,1,8.0,34,40,0,5,95,72,10,7,0,0,3,10,2,21,61,5,1,62,25,5,2,76,24,0,0,1,10,82,34,0,57,9,43.63986791,-79.41673396,1,2,46
627,627,628000,545.09,72812,30741,1011,621,Scarborough,2,2,1,31.0,46,51,0,5,44,45,6,28,0,0,24,26,4,28,17,17,7,19,21,21,15,69,31,35,0,9,2,51,67,6,23,4,43.73410478,-79.26264594,1,1,36
628,628,999900,1470.56,275296,93922,1723,580,Downtown,2,2,1,42.0,38,32,4,6,90,63,7,2,0,4,8,16,1,16,55,8,3,27,17,21,25,34,65,5,9,3,23,55,40,1,54,6,43.67542899,-79.39871781,1,1,28
629,629,1629000,1254.7,155603,78980,1439,1132,Etobicoke,1,2,2,18.0,27,69,0,2,28,61,13,6,0,0,6,18,4,30,43,6,2,31,23,22,17,78,22,0,0,0,0,99,43,0,53,4,43.63046075,-79.474464,1,4,24
630,630,499000,293.21,84666,41223,425,1174,Downtown,1,1,1,12.0,33,18,1,13,86,38,4,36,0,3,4,19,2,13,61,5,5,53,16,13,8,33,67,0,0,0,2,97,29,0,54,17,43.66240743,-79.38589834,0,2,60
631,631,899000,597.27,69286,31835,872,1030,Downtown,2,2,1,1.0,43,29,2,8,90,32,0,51,5,2,20,28,4,15,30,14,6,32,22,18,8,22,78,1,3,1,17,67,48,1,43,8,43.66100681,-79.36035486,1,1,116
632,632,880000,606.88,95122,50319,740,1189,Downtown,2,2,1,5.0,39,35,1,6,93,63,10,7,0,4,5,15,2,17,61,7,2,59,20,8,3,51,49,0,0,0,1,98,35,0,52,13,43.63765802,-79.40235123,0,5,62
633,633,729000,711.84,99562,52905,1026,710,North York,2,2,1,18.0,48,43,2,7,91,34,10,23,0,13,3,15,1,15,65,10,3,40,26,13,7,70,30,3,0,0,14,79,50,1,43,7,43.75604877,-79.40711268,0,3,16
634,634,599999,570.0,55876,23080,1099,550,Etobicoke,2,1,1,42.0,31,66,0,2,12,34,2,14,0,12,25,34,5,15,22,22,8,22,22,16,10,44,55,5,0,2,0,84,78,6,11,5,43.7477322,-79.57966798,0,1,32
635,635,549000,600.0,59725,25866,930,590,Scarborough,2,2,1,35.0,34,63,0,2,20,34,2,54,0,0,17,35,7,22,19,21,7,20,21,18,13,53,47,9,7,4,3,61,72,7,19,3,43.81138038,-79.22604213,0,1,32
636,636,690000,442.29,64769,30355,549,1266,Downtown,1,1,1,8.0,43,29,2,7,91,50,10,17,0,4,19,27,5,17,30,14,6,32,23,17,7,23,77,1,2,0,16,69,46,1,45,8,43.66007533,-79.36050238,0,6,116
637,637,649900,343.94,72426,31819,549,1192,North York,1,1,1,6.9,31,59,0,2,21,46,46,8,0,0,41,28,6,14,5,17,7,20,22,20,14,37,62,35,3,3,58,1,69,4,24,4,43.736561,-79.4832,1,1,32
638,638,849900,329.8,65650,28479,1099,779,Scarborough,2,2,1,21.0,32,64,1,2,26,36,0,53,0,0,20,25,5,21,29,18,6,25,22,18,10,71,28,7,2,4,1,51,67,6,21,6,43.79330706,-79.23700013,0,1,18
639,639,759000,511.17,96090,60456,678,1119,Downtown,1,2,1,14.0,26,18,4,8,88,47,6,26,0,4,4,18,1,11,63,9,3,49,19,11,9,37,62,0,0,0,2,98,35,0,51,14,43.65484414,-79.38467968,1,2,88
640,640,699000,468.1,112609,61451,749,937,West End,1,1,1,16.0,37,40,4,4,92,73,10,4,0,2,3,11,2,20,60,5,1,59,26,7,2,72,28,0,0,1,10,83,34,0,57,9,43.63968814,-79.41248864,1,2,40
641,641,998800,717.33,104906,53949,964,1036,Downtown,2,2,1,12.0,31,24,0,7,93,66,6,8,0,1,8,17,3,21,51,8,2,36,26,17,11,51,49,0,0,0,9,86,38,0,55,7,43.65122137,-79.36711668,0,0,108
642,642,1299000,1037.52,136010,55238,1179,1100,East End,2,3,1,2.2,39,41,1,13,86,79,8,6,0,0,19,20,1,15,43,17,5,18,25,22,13,67,32,14,26,9,33,5,63,3,28,6,43.66894486,-79.34714425,0,1,54
643,643,1109000,887.0400000000001,91320,29675,2200,504,Scarborough,3,3,4,40.5,23,67,1,4,84,19,7,62,0,0,21,21,1,28,24,11,6,20,17,24,23,94,1,57,11,7,8,4,74,11,12,4,43.81610256,-79.33490919,0,1,4
644,644,649900,479.17,116970,59759,583,1113,Etobicoke,1,1,1,10.0,26,69,0,7,56,50,20,2,0,0,8,19,4,28,42,8,2,32,23,21,14,65,35,1,1,0,9,82,46,1,49,5,43.62122924,-79.48332016,0,4,18
645,645,2950000,2947.66,126655,56389,2081,1417,North York,3,3,2,27.0,21,73,1,1,7,40,2,33,0,14,8,21,4,18,47,10,5,17,16,21,30,80,18,41,0,1,0,53,70,3,24,3,43.78509232,-79.38909324,0,1,10
646,646,935000,699.74,116970,59759,893,1047,Etobicoke,2,2,1,10.0,26,69,0,7,56,50,20,2,0,0,8,19,4,28,42,8,2,32,23,21,14,65,35,1,1,0,9,82,46,1,49,5,43.62122924,-79.48332016,0,4,18
647,647,688000,410.66,107907,51987,549,1262,Downtown,1,1,1,1.0,27,19,1,9,90,56,9,16,0,5,10,15,2,17,52,4,2,60,19,9,6,48,52,0,0,0,4,94,29,0,58,12,43.64896043,-79.39257595,0,5,166
648,648,999000,652.11,97006,48994,848,1177,Downtown,2,2,1,1.0,28,19,0,6,94,63,9,9,0,0,8,18,2,22,49,8,2,33,24,18,14,28,72,0,0,1,3,89,38,0,55,7,43.64551665,-79.36875632,0,0,52
