MLS_number_condo,maint_fee,avg_income_household_yr,total_sqft,parking,age_of_building,commute_transit,commute_car,near_by_schools,near_by_bars&restaurants,speak_English,speak_Europe_language,speak_Africa_language,edu_no_diploma,edu_trade_cert,edu_coll_or_univ_cert,population_35_49_years,tenancy_property_type_semi_detached,tenancy_property_type_low_rise,bedrooms_plus_field,East End,East York,Etobicoke,Midtown | Central
E5602702,613.11,105586,849,1,12.0,22,71,0,20,67,10,0,21,2,25,19,0,4,0,0.0,0.0,0.0,0.0
C5528987,632.79,176244,826,1,34.0,45,18,3,90,77,6,0,2,2,14,16,2,20,1,0.0,0.0,0.0,0.0
C5607099,621.41,82255,698,1,49.0,43,20,3,87,69,11,0,8,3,21,24,0,14,0,0.0,0.0,0.0,0.0
C5599470,745.55,99562,888,1,18.0,48,43,1,92,34,10,0,3,1,15,26,0,14,0,0.0,0.0,0.0,0.0
W5599186,790.8720000000001,78644,1063,1,100.0,44,32,0,89,58,28,0,24,4,14,23,17,47,0,0.0,0.0,0.0,0.0
C5591806,247.15,133203,403,1,1.0,39,32,0,100,73,6,0,8,4,23,29,2,17,0,0.0,0.0,0.0,0.0
W5590276,323.97,82360,961,1,8.0,41,52,0,94,50,36,0,34,6,14,25,21,35,0,0.0,0.0,0.0,0.0
C5597584,532.91,113927,645,1,13.0,35,40,3,93,72,10,0,3,2,20,25,0,9,0,0.0,0.0,0.0,0.0
C5599980,455.0,82048,649,1,15.0,32,24,0,88,48,6,0,24,3,16,22,3,32,1,0.0,0.0,0.0,0.0
W5602739,449.47,95036,649,1,4.0,31,63,0,52,55,23,0,26,5,20,21,0,7,1,0.0,0.0,1.0,0.0
C5602296,512.36,87326,649,1,8.0,40,55,2,29,37,3,0,6,4,20,25,1,4,1,0.0,0.0,0.0,0.0
C5575204,364.31,98181,493,1,3.0,31,25,1,91,72,7,0,13,2,21,26,2,20,0,0.0,0.0,0.0,0.0
C5591418,779.41,125447,733,1,2.0,57,32,0,97,53,15,0,5,3,22,23,3,8,1,0.0,0.0,0.0,1.0
C5525717,1889.38,85980,2232,1,4.0,35,19,2,94,74,6,0,12,4,21,24,1,17,0,0.0,0.0,0.0,0.0
W5597294,328.78,68780,981,1,49.0,39,51,0,44,40,12,0,19,3,18,19,2,7,0,0.0,0.0,0.0,0.0
C5579064,630.61,107907,770,1,1.0,27,19,1,90,56,9,0,10,2,17,19,0,4,0,0.0,0.0,0.0,0.0
E5560348,431.73,58822,626,1,10.0,34,60,2,96,23,0,0,10,4,28,18,0,0,1,0.0,0.0,0.0,0.0
C5580064,326.0,74753,587,1,7.0,45,44,0,100,29,6,0,7,2,16,23,0,1,0,0.0,0.0,0.0,0.0
